year,product,order_status,order_count,percent_status_by_product
2023,Phone,Pending,17,"28.33 %"
2023,Phone,Cancelled,13,"21.67 %"
2023,Phone,Returned,12,"20.00 %"
2023,Printer,Delivered,10,"12.20 %"
2023,Printer,Shipped,23,"28.05 %"
2023,Printer,Pending,19,"23.17 %"
2023,Printer,Cancelled,16,"19.51 %"
2023,Printer,Returned,14,"17.07 %"
2023,Tablet,Delivered,14,"18.18 %"
2023,Tablet,Shipped,13,"16.88 %"
2023,Tablet,Pending,15,"19.48 %"
2023,Tablet,Cancelled,16,"20.78 %"
2023,Tablet,Returned,19,"24.68 %"

customerid;return_count;"CONCAT(total_spending,' $')";spending_rank;class;coupon_code;referral_source;shipping_address
C57276;1;"3456.40 $";1;VIP;SAVE10;Email;"183 Main St"
C67260;1;"3390.80 $";2;VIP;WINTER15;Facebook;"463 Main St"
C47778;1;"3334.00 $";3;VIP;SAVE10;Referral;"488 Main St"
C53464;1;"3299.25 $";4;VIP;SAVE10;Facebook;"197 Main St"
C88029;1;"3277.75 $";5;VIP;N/A;Email;"282 Main St"
C89979;1;"3170.00 $";6;VIP;N/A;Email;"144 Main St"
C11415;1;"2876.20 $";7;VIP;WINTER15;Email;"267 Main St"
C50415;1;"2830.35 $";8;VIP;SAVE10;Instagram;"587 Main St"
C43595;1;"2807.40 $";9;VIP;FREESHIP;Facebook;"451 Main St"
C13366;1;"2714.20 $";10;VIP;N/A;Email;"568 Main St"
C12388;1;"2683.60 $";11;VIP;N/A;Email;"830 Main St"
C43524;1;"2621.30 $";12;VIP;FREESHIP;Referral;"934 Main St"
C18820;1;"2573.00 $";13;VIP;FREESHIP;Instagram;"347 Main St"
C89592;1;"2547.90 $";14;VIP;FREESHIP;Instagram;"262 Main St"
C55996;1;"2543.45 $";15;VIP;FREESHIP;Google;"885 Main St"
C76766;1;"2512.48 $";16;VIP;WINTER15;Instagram;"485 Main St"
C81840;1;"2504.04 $";17;VIP;SAVE10;Email;"668 Main St"
C27613;1;"2462.60 $";18;VIP;WINTER15;Google;"971 Main St"
C95643;1;"2426.28 $";19;VIP;WINTER15;Referral;"303 Main St"
C51145;1;"2403.24 $";20;VIP;SAVE10;Email;"790 Main St"
C87994;1;"2392.76 $";21;VIP;WINTER15;Email;"430 Main St"
C37455;1;"2380.05 $";22;VIP;WINTER15;Google;"146 Main St"
C84480;1;"2342.55 $";23;VIP;N/A;Facebook;"803 Main St"
C18105;1;"2332.08 $";24;VIP;FREESHIP;Facebook;"338 Main St"
C70613;1;"2323.70 $";25;VIP;N/A;Referral;"438 Main St"
C66840;1;"2313.08 $";26;VIP;WINTER15;Email;"547 Main St"
C61849;1;"2311.28 $";27;VIP;N/A;Google;"811 Main St"
C63153;1;"2199.04 $";28;VIP;FREESHIP;Facebook;"625 Main St"
C97681;1;"2166.30 $";29;VIP;SAVE10;Google;"895 Main St"
C41478;1;"2138.28 $";30;VIP;FREESHIP;Facebook;"667 Main St"
C27435;1;"2104.90 $";31;VIP;SAVE10;Facebook;"860 Main St"
C39593;1;"2078.13 $";32;VIP;FREESHIP;Instagram;"398 Main St"
C39911;1;"2073.60 $";33;VIP;SAVE10;Facebook;"699 Main St"
C53070;1;"2048.24 $";34;VIP;SAVE10;Google;"283 Main St"
C86762;1;"2043.65 $";35;VIP;FREESHIP;Instagram;"326 Main St"
C74982;1;"2042.80 $";36;VIP;FREESHIP;Instagram;"398 Main St"
C82344;1;"2028.63 $";37;VIP;SAVE10;Google;"260 Main St"
C75018;1;"2007.18 $";38;VIP;SAVE10;Facebook;"299 Main St"
C74866;1;"1994.37 $";39;VIP;N/A;Facebook;"743 Main St"
C95901;1;"1993.38 $";40;VIP;FREESHIP;Google;"806 Main St"
C68266;1;"1960.89 $";41;VIP;FREESHIP;Email;"281 Main St"
C94568;1;"1939.40 $";42;VIP;WINTER15;Referral;"317 Main St"
C87995;1;"1925.92 $";43;VIP;SAVE10;Instagram;"358 Main St"
C28648;1;"1895.44 $";44;VIP;SAVE10;Facebook;"101 Main St"
C78725;1;"1880.36 $";45;VIP;FREESHIP;Google;"541 Main St"
C74359;1;"1841.25 $";46;VIP;N/A;Instagram;"706 Main St"
C46015;1;"1812.30 $";47;VIP;FREESHIP;Instagram;"299 Main St"
C31501;1;"1764.15 $";48;VIP;N/A;Instagram;"242 Main St"
C20977;1;"1740.48 $";49;VIP;SAVE10;Instagram;"636 Main St"
C82217;1;"1717.48 $";50;VIP;FREESHIP;Google;"299 Main St"
C28152;1;"1714.59 $";51;VIP;FREESHIP;Facebook;"821 Main St"
C25967;1;"1709.80 $";52;VIP;N/A;Email;"747 Main St"
C92407;1;"1672.23 $";53;VIP;N/A;Email;"135 Main St"
C99683;1;"1663.20 $";54;VIP;N/A;Referral;"945 Main St"
C27401;1;"1619.73 $";55;VIP;N/A;Email;"500 Main St"
C64502;1;"1600.05 $";56;VIP;N/A;Referral;"722 Main St"
C53277;1;"1595.16 $";57;VIP;SAVE10;Google;"473 Main St"
C33110;1;"1584.42 $";58;VIP;FREESHIP;Email;"388 Main St"
C65890;1;"1577.85 $";59;VIP;WINTER15;Email;"340 Main St"
C35123;1;"1546.92 $";60;VIP;SAVE10;Facebook;"513 Main St"
C76653;1;"1539.40 $";61;VIP;FREESHIP;Instagram;"988 Main St"
C56928;1;"1435.00 $";62;VIP;SAVE10;Facebook;"860 Main St"
C99023;1;"1371.80 $";63;VIP;N/A;Google;"569 Main St"
C51694;1;"1361.70 $";64;VIP;FREESHIP;Referral;"953 Main St"
C20257;1;"1343.90 $";65;VIP;WINTER15;Email;"669 Main St"
C26210;1;"1334.25 $";66;VIP;SAVE10;Facebook;"805 Main St"
C90132;1;"1304.65 $";67;VIP;SAVE10;Email;"582 Main St"
C24301;1;"1284.08 $";68;VIP;WINTER15;Email;"964 Main St"
C95856;1;"1279.76 $";69;VIP;WINTER15;Instagram;"432 Main St"
C17103;1;"1278.36 $";70;VIP;WINTER15;Instagram;"922 Main St"
C33260;1;"1270.59 $";71;Normal;SAVE10;Referral;"930 Main St"
C78724;1;"1266.39 $";72;Normal;SAVE10;Facebook;"187 Main St"
C70452;1;"1265.28 $";73;Normal;N/A;Facebook;"309 Main St"
C60699;1;"1235.85 $";74;Normal;FREESHIP;Referral;"672 Main St"
C62557;1;"1232.64 $";75;Normal;FREESHIP;Instagram;"257 Main St"
C29483;1;"1222.88 $";76;Normal;N/A;Facebook;"673 Main St"
C55388;1;"1213.86 $";77;Normal;FREESHIP;Instagram;"740 Main St"
C80651;1;"1194.51 $";78;Normal;SAVE10;Email;"917 Main St"
C48646;1;"1159.10 $";79;Normal;SAVE10;Facebook;"339 Main St"
C89674;1;"1151.66 $";80;Normal;WINTER15;Referral;"182 Main St"
C56938;1;"1117.80 $";81;Normal;WINTER15;Referral;"356 Main St"
C90292;1;"1105.28 $";82;Normal;N/A;Google;"129 Main St"
C40949;1;"1105.26 $";83;Normal;WINTER15;Instagram;"609 Main St"
C10787;1;"1099.28 $";84;Normal;WINTER15;Email;"932 Main St"
C93821;1;"1075.44 $";85;Normal;FREESHIP;Facebook;"513 Main St"
C29905;1;"1067.90 $";86;Normal;WINTER15;Google;"790 Main St"
C69149;1;"1062.98 $";87;Normal;WINTER15;Facebook;"562 Main St"
C38642;1;"1046.00 $";88;Normal;WINTER15;Email;"930 Main St"
C48510;1;"1042.80 $";89;Normal;SAVE10;Instagram;"212 Main St"
C91103;1;"1023.44 $";90;Normal;N/A;Email;"155 Main St"
C84041;1;"1001.60 $";91;Normal;FREESHIP;Referral;"900 Main St"
C25534;1;"984.20 $";92;Normal;WINTER15;Instagram;"319 Main St"
C61773;1;"981.12 $";93;Normal;WINTER15;Email;"176 Main St"
C92180;1;"977.80 $";94;Normal;FREESHIP;Facebook;"632 Main St"
C95568;1;"973.41 $";95;Normal;WINTER15;Email;"971 Main St"
C56851;1;"958.15 $";96;Normal;FREESHIP;Facebook;"752 Main St"
C34337;1;"950.55 $";97;Normal;SAVE10;Google;"325 Main St"
C39246;1;"931.40 $";98;Normal;SAVE10;Email;"258 Main St"
C36174;1;"926.94 $";99;Normal;SAVE10;Instagram;"348 Main St"
C10642;1;"922.74 $";100;Normal;SAVE10;Google;"200 Main St"
C25841;1;"904.65 $";101;Normal;FREESHIP;Google;"242 Main St"
C90348;1;"899.00 $";102;Normal;WINTER15;Facebook;"728 Main St"
C18167;1;"887.84 $";103;Normal;N/A;Google;"193 Main St"
C94658;1;"886.44 $";104;Normal;N/A;Facebook;"742 Main St"
C33051;1;"883.08 $";105;Normal;SAVE10;Email;"397 Main St"
C79674;1;"873.68 $";106;Normal;FREESHIP;Instagram;"275 Main St"
C67687;1;"868.60 $";107;Normal;SAVE10;Instagram;"978 Main St"
C40882;1;"868.52 $";108;Normal;WINTER15;Email;"719 Main St"
C68976;1;"868.25 $";109;Normal;SAVE10;Email;"460 Main St"
C32687;1;"852.44 $";110;Normal;WINTER15;Google;"448 Main St"
C91255;1;"851.10 $";111;Normal;N/A;Referral;"769 Main St"
C37032;1;"847.76 $";112;Normal;SAVE10;Referral;"655 Main St"
C52914;1;"839.96 $";113;Normal;N/A;Google;"168 Main St"
C86064;1;"834.12 $";114;Normal;N/A;Instagram;"727 Main St"
C61384;1;"802.35 $";115;Normal;WINTER15;Instagram;"576 Main St"
C10866;1;"789.57 $";116;Normal;N/A;Instagram;"770 Main St"
C44366;1;"776.44 $";117;Normal;WINTER15;Instagram;"169 Main St"
C56506;1;"773.52 $";118;Normal;N/A;Instagram;"185 Main St"
C96664;1;"769.38 $";119;Normal;SAVE10;Referral;"666 Main St"
C90310;1;"762.56 $";120;Normal;SAVE10;Email;"853 Main St"
C46504;1;"745.84 $";121;Normal;SAVE10;Email;"131 Main St"
C74499;1;"744.46 $";122;Normal;SAVE10;Email;"518 Main St"
C68553;1;"742.41 $";123;Normal;SAVE10;Facebook;"385 Main St"
C36540;1;"728.32 $";124;Normal;SAVE10;Email;"611 Main St"
C76362;1;"709.50 $";125;Normal;FREESHIP;Email;"916 Main St"
C32029;1;"701.44 $";126;Normal;FREESHIP;Instagram;"146 Main St"
C40771;1;"697.96 $";127;Normal;SAVE10;Facebook;"259 Main St"
C61521;1;"690.02 $";128;Normal;FREESHIP;Google;"670 Main St"
C84766;1;"688.04 $";129;Normal;FREESHIP;Instagram;"267 Main St"
C29072;1;"687.98 $";130;Normal;N/A;Google;"312 Main St"
C99024;1;"684.65 $";131;Normal;FREESHIP;Email;"250 Main St"
C55454;1;"677.48 $";132;Normal;WINTER15;Facebook;"807 Main St"
C25918;1;"666.95 $";133;Normal;FREESHIP;Referral;"203 Main St"
C89559;1;"662.84 $";134;Normal;WINTER15;Google;"297 Main St"
C42949;1;"660.66 $";135;Normal;WINTER15;Instagram;"447 Main St"
C19368;1;"646.44 $";136;Normal;N/A;Instagram;"517 Main St"
C16012;1;"630.82 $";137;Normal;FREESHIP;Google;"171 Main St"
C44674;1;"627.34 $";138;Normal;N/A;Referral;"942 Main St"
C95100;1;"627.20 $";139;Normal;WINTER15;Email;"197 Main St"
C72664;1;"627.15 $";140;Normal;SAVE10;Instagram;"241 Main St"
C26188;1;"618.68 $";141;Normal;WINTER15;Referral;"990 Main St"
C40427;1;"613.98 $";142;Normal;FREESHIP;Facebook;"411 Main St"
C29931;1;"612.36 $";143;Normal;FREESHIP;Referral;"540 Main St"
C33802;1;"604.87 $";144;Normal;N/A;Instagram;"461 Main St"
C65744;1;"582.04 $";145;Normal;FREESHIP;Email;"647 Main St"
C15257;1;"580.20 $";146;Normal;SAVE10;Google;"626 Main St"
C53252;1;"570.32 $";147;Normal;FREESHIP;Facebook;"351 Main St"
C79142;1;"569.96 $";148;Normal;FREESHIP;Email;"533 Main St"
C62622;1;"562.61 $";149;Normal;WINTER15;Facebook;"762 Main St"
C39550;1;"558.27 $";150;Normal;N/A;Referral;"976 Main St"
C43335;1;"548.24 $";151;Normal;FREESHIP;Referral;"533 Main St"
C77499;1;"547.44 $";152;Normal;N/A;Instagram;"209 Main St"
C58808;1;"539.66 $";153;Normal;SAVE10;Email;"651 Main St"
C13169;1;"536.07 $";154;Normal;FREESHIP;Google;"932 Main St"
C54277;1;"519.16 $";155;Normal;FREESHIP;Instagram;"940 Main St"
C66906;1;"518.64 $";156;Normal;WINTER15;Referral;"117 Main St"
C67932;1;"514.98 $";157;Normal;N/A;Google;"857 Main St"
C63378;1;"512.39 $";158;Normal;FREESHIP;Instagram;"955 Main St"
C71076;1;"511.98 $";159;Normal;SAVE10;Instagram;"340 Main St"
C50682;1;"501.96 $";160;Normal;N/A;Google;"598 Main St"
C14240;1;"491.11 $";161;Normal;SAVE10;Facebook;"592 Main St"
C61618;1;"488.80 $";162;Normal;FREESHIP;Facebook;"104 Main St"
C94569;1;"487.21 $";163;Normal;SAVE10;Referral;"227 Main St"
C82685;1;"475.98 $";164;Normal;WINTER15;Email;"537 Main St"
C77357;1;"474.60 $";165;Normal;SAVE10;Email;"407 Main St"
C39416;1;"473.96 $";166;Normal;N/A;Google;"942 Main St"
C93007;1;"465.66 $";167;Normal;N/A;Instagram;"103 Main St"
C39648;1;"465.33 $";168;Normal;FREESHIP;Google;"824 Main St"
C27072;1;"463.11 $";169;Normal;N/A;Instagram;"996 Main St"
C17470;1;"461.90 $";170;Normal;WINTER15;Referral;"956 Main St"
C11210;1;"454.60 $";171;Normal;SAVE10;Facebook;"910 Main St"
C29405;1;"448.74 $";172;Normal;WINTER15;Referral;"251 Main St"
C85929;1;"440.73 $";173;Normal;FREESHIP;Google;"798 Main St"
C14553;1;"440.19 $";174;Normal;FREESHIP;Email;"768 Main St"
C37412;1;"432.47 $";175;Normal;FREESHIP;Referral;"895 Main St"
C41508;1;"429.96 $";176;Normal;N/A;Google;"993 Main St"
C35785;1;"427.82 $";177;Normal;WINTER15;Email;"732 Main St"
C69542;1;"422.54 $";178;Normal;SAVE10;Google;"876 Main St"
C45187;1;"420.65 $";179;Normal;SAVE10;Google;"767 Main St"
C90110;1;"418.36 $";180;Normal;FREESHIP;Email;"998 Main St"
C53488;1;"410.52 $";181;Normal;SAVE10;Facebook;"448 Main St"
C97735;1;"408.50 $";182;Normal;N/A;Instagram;"385 Main St"
C42577;1;"399.98 $";183;Normal;WINTER15;Email;"709 Main St"
C30010;1;"382.23 $";184;Normal;SAVE10;Referral;"830 Main St"
C72533;1;"376.76 $";185;Normal;SAVE10;Email;"389 Main St"
C20338;1;"370.85 $";186;Normal;FREESHIP;Referral;"331 Main St"
C26340;1;"369.20 $";187;Normal;WINTER15;Email;"562 Main St"
C50087;1;"366.33 $";188;Normal;WINTER15;Email;"707 Main St"
C76929;1;"356.81 $";189;Normal;WINTER15;Instagram;"563 Main St"
C54494;1;"352.92 $";190;Normal;FREESHIP;Email;"696 Main St"
C67583;1;"338.31 $";191;Normal;N/A;Google;"974 Main St"
C24212;1;"322.08 $";192;Normal;FREESHIP;Google;"808 Main St"
C21191;1;"321.96 $";193;Normal;SAVE10;Referral;"381 Main St"
C48946;1;"309.85 $";194;Normal;SAVE10;Email;"457 Main St"
C24901;1;"299.70 $";195;Normal;FREESHIP;Facebook;"258 Main St"
C21944;1;"297.75 $";196;Normal;N/A;Referral;"296 Main St"
C20448;1;"296.44 $";197;Normal;WINTER15;Instagram;"336 Main St"
C12459;1;"284.16 $";198;Normal;SAVE10;Referral;"838 Main St"
C11829;1;"279.14 $";199;Normal;WINTER15;Facebook;"797 Main St"
C75456;1;"276.66 $";200;Normal;FREESHIP;Email;"115 Main St"
C28889;1;"258.87 $";201;Normal;WINTER15;Instagram;"565 Main St"
C34134;1;"254.12 $";202;Normal;WINTER15;Email;"365 Main St"
C94595;1;"247.64 $";203;Normal;WINTER15;Email;"948 Main St"
C15924;1;"245.89 $";204;Normal;SAVE10;Google;"549 Main St"
C92788;1;"243.71 $";205;Normal;SAVE10;Google;"948 Main St"
C33099;1;"241.90 $";206;Normal;WINTER15;Email;"522 Main St"
C46557;1;"237.18 $";207;Normal;N/A;Email;"890 Main St"
C50612;1;"226.64 $";208;Normal;SAVE10;Instagram;"737 Main St"
C39671;1;"217.56 $";209;Normal;N/A;Facebook;"174 Main St"
C84320;1;"208.95 $";210;Normal;WINTER15;Instagram;"107 Main St"
C45482;1;"198.20 $";211;Normal;N/A;Instagram;"440 Main St"
C81074;1;"157.72 $";212;Normal;FREESHIP;Google;"597 Main St"
C37235;1;"151.04 $";213;Normal;N/A;Google;"217 Main St"
C26118;1;"144.78 $";214;Normal;WINTER15;Instagram;"168 Main St"
C80987;1;"132.05 $";215;Normal;N/A;Google;"787 Main St"
C68508;1;"123.28 $";216;Normal;SAVE10;Email;"895 Main St"
C54595;1;"121.96 $";217;Normal;N/A;Google;"999 Main St"
C96034;1;"121.08 $";218;Normal;FREESHIP;Google;"819 Main St"
C23947;1;"120.98 $";219;Normal;WINTER15;Email;"353 Main St"
C13923;1;"118.80 $";220;Normal;SAVE10;Email;"123 Main St"
C99214;1;"97.86 $";221;Normal;N/A;Facebook;"252 Main St"
C66438;1;"90.27 $";222;Normal;SAVE10;Facebook;"816 Main St"
C86408;1;"84.28 $";223;Normal;FREESHIP;Google;"244 Main St"
C47365;1;"82.00 $";224;Normal;N/A;Email;"369 Main St"
C39551;1;"76.93 $";225;Normal;WINTER15;Instagram;"685 Main St"
C39639;1;"65.95 $";226;Normal;N/A;Facebook;"185 Main St"
C94248;1;"64.66 $";227;Normal;N/A;Instagram;"494 Main St"
C50211;1;"53.00 $";228;Normal;SAVE10;Instagram;"312 Main St"
C63018;1;"38.49 $";229;Normal;FREESHIP;Referral;"215 Main St"
C67533;1;"26.95 $";230;Normal;WINTER15;Email;"672 Main St"
C28406;1;"23.53 $";231;Normal;FREESHIP;Instagram;"174 Main St"

year,product,total_delivered,"CONCAT(average_price,' $')",total_in_cart,"CONCAT(total_sales,' $')",product_rank,percent_sales,turn_over_rate
2025,Chair,27,"261.76 $",41,"8628.29 $",1,"3.56 %","0.66 %"
2025,Printer,14,"347.31 $",26,"6373.43 $",2,"2.63 %","0.54 %"
2025,Desk,15,"409.60 $",33,"6221.56 $",3,"2.56 %","0.45 %"
2025,Phone,21,"318.11 $",45,"6039.32 $",4,"2.49 %","0.47 %"
2025,Laptop,21,"257.84 $",41,"5592.01 $",5,"2.31 %","0.51 %"
2025,Tablet,14,"409.49 $",35,"5267.74 $",6,"2.17 %","0.40 %"
2025,Monitor,8,"324.81 $",18,"2880.81 $",7,"1.19 %","0.44 %"
2024,Phone,54,"427.37 $",85,"22582.53 $",1,"9.31 %","0.64 %"
2024,Monitor,55,"409.65 $",101,"22520.61 $",2,"9.28 %","0.54 %"
2024,Printer,40,"367.96 $",67,"14643.33 $",3,"6.04 %","0.60 %"
2024,Laptop,42,"350.95 $",72,"13325.13 $",4,"5.49 %","0.58 %"
2024,Tablet,30,"314.93 $",49,"10033.64 $",5,"4.14 %","0.61 %"
2024,Chair,39,"275.60 $",75,"10039.99 $",5,"4.14 %","0.52 %"
2024,Desk,33,"263.30 $",62,"8610.49 $",7,"3.55 %","0.53 %"
2023,Laptop,58,"355.22 $",95,"21797.29 $",1,"8.98 %","0.61 %"
2023,Printer,34,"512.26 $",66,"17037.97 $",2,"7.02 %","0.52 %"
2023,Tablet,41,"380.58 $",85,"16493.14 $",3,"6.80 %","0.48 %"
2023,Chair,39,"352.32 $",75,"12797.55 $",4,"5.28 %","0.52 %"
2023,Phone,26,"463.88 $",49,"11723.56 $",5,"4.83 %","0.53 %"
2023,Monitor,33,"325.42 $",69,"10598.20 $",6,"4.37 %","0.48 %"
2023,Desk,46,"241.53 $",81,"9393.73 $",7,"3.87 %","0.57 %"

year,active_customers,revenue_per_year
2025,45,"41003.16 $"
2024,97,"101755.72 $"
2023,89,"99841.44 $"
